id_file;pedido;id_agencia;agencia;id_client_file;id_estado;estado;proceso;proceso_habilitado;motivo;id_cliente_sugerido;nombre_cliente_sugerido;fuente_sugerencia;nota_nd
4143;11587;4;AUDI CENTER GALERIAS;3511;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3791;11599;4;AUDI CENTER GALERIAS;3199;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3777;11604;4;AUDI CENTER GALERIAS;3186;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4122;11628;4;AUDI CENTER GALERIAS;3492;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4124;11639;4;AUDI CENTER GALERIAS;3494;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
3993;11642;4;AUDI CENTER GALERIAS;3373;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4062;11654;4;AUDI CENTER GALERIAS;3437;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4110;11655;4;AUDI CENTER GALERIAS;3482;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4355;11707;4;AUDI CENTER GALERIAS;2504;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
8689;11713;4;AUDI CENTER GALERIAS;7158;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4393;11717;4;AUDI CENTER GALERIAS;3727;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4529;11754;4;AUDI CENTER GALERIAS;3827;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
4836;11796;4;AUDI CENTER GALERIAS;2808;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
5151;11835;4;AUDI CENTER GALERIAS;6753;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
5757;11943;4;AUDI CENTER GALERIAS;6753;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
6112;12011;4;AUDI CENTER GALERIAS;2808;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
6144;12014;4;AUDI CENTER GALERIAS;5098;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
6270;12028;4;AUDI CENTER GALERIAS;2808;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
6438;12036;4;AUDI CENTER GALERIAS;5333;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
6557;12053;4;AUDI CENTER GALERIAS;2808;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
7014;12103;4;AUDI CENTER GALERIAS;2808;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
9179;12303;4;AUDI CENTER GALERIAS;6753;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
9377;12330;4;AUDI CENTER GALERIAS;7699;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
9952;12399;4;AUDI CENTER GALERIAS;2808;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
9957;12400;4;AUDI CENTER GALERIAS;5098;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
10066;12422;4;AUDI CENTER GALERIAS;5098;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
10423;12474;4;AUDI CENTER GALERIAS;2808;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
11656;12635;4;AUDI CENTER GALERIAS;5098;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
11836;12652;4;AUDI CENTER GALERIAS;2808;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
12096;12655;4;AUDI CENTER GALERIAS;9796;1;Integración;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
12361;12732;4;AUDI CENTER GALERIAS;6753;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
13364;12867;4;AUDI CENTER GALERIAS;2662;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
13671;12900;4;AUDI CENTER GALERIAS;6753;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15227;13130;4;AUDI CENTER GALERIAS;9820;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15417;13140;4;AUDI CENTER GALERIAS;12340;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15618;13168;4;AUDI CENTER GALERIAS;6753;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15466;13172;4;AUDI CENTER GALERIAS;12393;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15527;13173;4;AUDI CENTER GALERIAS;8103;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15411;13177;4;AUDI CENTER GALERIAS;12341;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15619;13193;4;AUDI CENTER GALERIAS;11523;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15619;13193;4;AUDI CENTER GALERIAS;11523;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15416;13196;4;AUDI CENTER GALERIAS;12346;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15428;13198;4;AUDI CENTER GALERIAS;12357;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15534;13213;4;AUDI CENTER GALERIAS;12454;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);12463;RAUL ALEJANDRO AGUILAR OROZCO;CTR_nd_igual_pedido;nd en CTR=13213
15544;13226;4;AUDI CENTER GALERIAS;2808;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
15929;13228;4;AUDI CENTER GALERIAS;2808;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16251;13279;4;AUDI CENTER GALERIAS;6469;3;Liberación;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
16525;13295;4;AUDI CENTER GALERIAS;12959;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
17463;13311;4;AUDI CENTER GALERIAS;14244;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17464;13311;4;AUDI CENTER GALERIAS;14244;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17465;13311;4;AUDI CENTER GALERIAS;14244;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17466;13311;4;AUDI CENTER GALERIAS;14244;5;Cancelado;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
17467;13311;4;AUDI CENTER GALERIAS;14244;1;Integración;AUTOS NUEVOS;1;Client inexistente (File.IdClient huérfano);;;sin_sugerencia;
13966;6852;4;AUDI CENTER GALERIAS;11221;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
5712;701;4;AUDI CENTER GALERIAS;4766;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
753;9486;4;AUDI CENTER GALERIAS;603;1;Integración;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
330;9601;4;AUDI CENTER GALERIAS;196;4;Liberado;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
923;9731;4;AUDI CENTER GALERIAS;747;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
806;9808;4;AUDI CENTER GALERIAS;649;1;Integración;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1737;9816;4;AUDI CENTER GALERIAS;1405;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
858;9841;4;AUDI CENTER GALERIAS;692;1;Integración;AUTOS SEMINUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
1619;9842;4;AUDI CENTER GALERIAS;1320;1;Integración;AUTOS NUEVOS;1;Sin Client_Total_Relation (cliente-agencia);;;sin_sugerencia;
